,Fold,eta,alpha,Error
285,9,0.30000000000000004,0.8,0.8321924646248157
286,9,0.30000000000000004,0.85,0.8211824097047927
287,9,0.30000000000000004,0.9,1.126534131484513
288,9,0.4,0.0,1.1532858490700424
289,9,0.4,0.7,0.8843294105591225
290,9,0.4,0.75,1.1185131181431094
291,9,0.4,0.8,0.8423635712545934
292,9,0.4,0.85,0.717957514932702
293,9,0.4,0.9,0.8741582343216215
294,9,0.5,0.0,0.9885229226801526
295,9,0.5,0.7,0.910089598172745
296,9,0.5,0.75,0.17376826979237403
297,9,0.5,0.8,0.6906584995232031
298,9,0.5,0.85,0.7323621046441423
299,9,0.5,0.9,0.6775385142050836
