,Fold,eta,alpha,Error_0_Layers,1_Layers,Error_1_Layers,2_Layers,Error_2_Layers
79,8,0.3,0.8,0.0002246018112614,[3],0.0095567951014903,"[3, 2]",0.0083154758705509
80,8,0.3,0.9,0.0009825104725423,[3],0.0043789120239168,"[3, 2]",0.0051683919023812
81,9,0.1,0.0,3.175977431796137e-05,[1],0.0635872717615497,"[1, 4]",0.0532703040730295
82,9,0.1,0.8,2.0610613431527143e-05,[3],0.0034423243572058,"[3, 3]",0.0077777455299376
83,9,0.1,0.9,2.689192980289404e-06,[2],0.0068246344499862,"[2, 1]",0.0409020066818111
84,9,0.2,0.0,4.911451099569556e-07,[3],0.0036551063345461,"[3, 3]",0.0015916462297397
85,9,0.2,0.8,0.001941314214746908,[1],0.6935800451013718,"[1, 4]",0.005692237637960294
86,9,0.2,0.9,9.862979148745095e-09,[3],0.007195067519592594,"[3, 4]",0.004148053511532744
87,9,0.3,0.0,0.0005513324490214539,[3],0.004311421849342546,"[3, 2]",0.003903183215500709
88,9,0.3,0.8,2.9820947977710083e-09,[4],0.006175044373699557,"[4, 2]",0.008583766168405066
89,9,0.3,0.9,0.0006560802543315549,[2],0.0059994635331587515,"[2, 2]",0.03947534166920166
