,Fold,eta,alpha,Error_0_Layers,1_Layer,Error_1_Layer,2_Layers,Error_2_Layers
69,7,0.3,0.0,0.038938068896804595,[2],0.1955781491355462,"[2, 4]",0.13203498464606336
70,7,0.3,0.8,0.46457953725456697,[2],0.2580343966895661,"[2, 1]",2.6030455922740083
71,7,0.3,0.9,1.3340688011535439e-07,[3],0.1554145240746743,"[3, 1]",0.3716165354386723
72,8,0.1,0.0,0.032387304286189134,[3],0.5600532846036922,"[3, 2]",0.933880557163827
73,8,0.1,0.8,0.42570025883328605,[4],0.4981916223688973,"[4, 2]",0.5626790440390431
74,8,0.1,0.9,0.3366493397952613,[3],0.27166175859910613,"[3, 2]",1.1111650177887074
75,8,0.2,0.0,,,,,
76,8,0.2,0.8,,,,,
77,8,0.2,0.9,,,,,
78,8,0.3,0.0,,,,,
79,8,0.3,0.8,,,,,
80,8,0.3,0.9,,,,,
81,9,0.1,0.0,,,,,
82,9,0.1,0.8,,,,,
83,9,0.1,0.9,,,,,
84,9,0.2,0.0,,,,,
85,9,0.2,0.8,,,,,
86,9,0.2,0.9,,,,,
87,9,0.3,0.0,,,,,
88,9,0.3,0.8,,,,,
89,9,0.3,0.9,,,,,
